Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,,,12.76,31.48,0,2.56,0,0
empty_tensor,,,2.61,2.61,0,0,0,0
aclnnAdd,,,16.11,16.11,2.56,2.56,0,0
aten::slice,,,2.5,3.78,0,0,0,0
aten::as_strided,,,1.28,1.28,0,0,0,0
aten::copy_,,,32.81,50.34,0,0.6,0,0
aclnnInplaceCopy,,,17.53,17.53,0.6,0.6,0,0
aten::slice,,,2.84,4.66,0,0,0,0
aten::as_strided,,,1.82,1.82,0,0,0,0
aten::add,,,8.55,29.64,0,2.0,0,0
empty_tensor,,,3.03,3.03,0,0,0,0
aclnnAdd,,,18.06,18.06,2.0,2.0,0,0
aten::slice,,,2.2,3.86,0,0,0,0
aten::as_strided,,,1.66,1.66,0,0,0,0
aten::copy_,,,16.21,30.33,0,0.56,0,0
aclnnInplaceCopy,,,14.12,14.12,0.56,0.56,0,0
aten::slice,,,2.13,3.21,0,0,0,0
aten::as_strided,,,1.08,1.08,0,0,0,0
aten::fill_,,,6.42,21.36,0,1.48,0,0
aclnnInplaceFillScalar,,,14.94,14.94,1.48,1.48,0,0
aten::slice,,,2.24,3.69,0,0,0,0
aten::as_strided,,,1.45,1.45,0,0,0,0
aten::slice,,,1.47,2.75,0,0,0,0
aten::as_strided,,,1.28,1.28,0,0,0,0
_compute_slot_mapping_kernel,,,29.63,29.63,117.972,117.972,0,0
_compute_slot_mapping_kernel,,,15.5,15.5,117.092,117.092,0,0
_compute_slot_mapping_kernel,,,21.09,21.09,116.832,116.832,0,0
_compute_slot_mapping_kernel,,,11.46,11.46,116.812,116.812,0,0
_compute_slot_mapping_kernel,,,11.09,11.09,116.95,116.95,0,0
_compute_slot_mapping_kernel,,,11.47,11.47,117.252,117.252,0,0
aten::slice,,,6.99,11.68,0,0,0,0
aten::as_strided,,,4.69,4.69,0,0,0,0
aten::sub,,,21.62,65.41,0,1.62,0,0
empty_tensor,,,8.06,8.06,0,0,0,0
aten::item,,,3.65,5.75,0,0,0,0
aten::_local_scalar_dense,,,2.1,2.1,0,0,0,0
aclnnSubs,,,29.98,29.98,1.62,1.62,0,0
aten::zeros,,,7.78,12.71,0,0,0,0
aten::empty,,,3.8,3.8,0,0,0,0
aten::zero_,,,1.13,1.13,0,0,0,0
aten::select,,,3.35,5.03,0,0,0,0
aten::as_strided,,,1.68,1.68,0,0,0,0
aten::lift_fresh,,,1.13,1.13,0,0,0,0
aten::select,,,0.91,2.31,0,0,0,0
aten::as_strided,,,1.4,1.4,0,0,0,0
aten::copy_,,,11.58,11.58,0,0,0,0
aten::select,,,1.34,1.94,0,0,0,0
aten::as_strided,,,0.6,0.6,0,0,0,0
aten::lift_fresh,,,0.51,0.51,0,0,0,0
aten::select,,,0.74,1.68,0,0,0,0
aten::as_strided,,,0.94,0.94,0,0,0,0
aten::copy_,,,1.78,1.78,0,0,0,0
c10d::allreduce_,,,40.76,40.76,0,0,0,0
gloo:all_reduce,,,973.62,973.62,0,0,0,0
aten::select,,,2.08,3.19,0,0,0,0
aten::as_strided,,,1.11,1.11,0,0,0,0
aten::max,,,12.55,15.58,0,0,0,0
aten::empty,,,2.24,2.24,0,0,0,0
aten::fill_,,,0.79,0.79,0,0,0,0
aten::item,,,2.06,3.48,0,0,0,0
aten::_local_scalar_dense,,,1.42,1.42,0,0,0,0
aten::select,,,1.29,1.87,0,0,0,0
aten::as_strided,,,0.58,0.58,0,0,0,0
aten::min,,,3.45,4.55,0,0,0,0
aten::empty,,,0.77,0.77,0,0,0,0
aten::fill_,,,0.33,0.33,0,0,0,0
aten::item,,,0.64,0.96,0,0,0,0
aten::_local_scalar_dense,,,0.32,0.32,0,0,0,0
aten::empty,,,1.89,1.89,0,0,0,0
aten::to,,,1.06,1.06,0,0,0,0
